team_name,matches,goals,goals_per_game,possession,match_won,perc_match_won,min2,min1,zero,plus1,plus2,max_value_of3,min_value_of3,points,perc_point,standing,wstand,perc_wstand
Italy,7,13,1.857142857,53.6,5,0.714285714,0.8,0.526315789,0.64516129,0.555555556,1,zero,min1,17,1,5,22,1
Austria,4,5,1.25,52.5,2,0.5,0.666666667,0.69047619,0.72,0.5,NA,zero,plus1,6,0.352941176470588,1,7,0.318181818181818
Wales,4,3,0.75,41.8,1,0.25,NA,0.523809524,0.733333333,0.5,1,zero,plus1,4,0.235294117647059,1,5,0.227272727272727
Portugal,4,7,1.75,53.5,1,0.25,0,0.8125,0.85,0.6,NA,zero,plus1,4,0.235294117647059,1,5,0.227272727272727
England,7,11,1.571428571,52,5,0.714285714,0.375,0.552631579,0.681818182,0.428571429,1,zero,plus1,17,1,4,21,0.954545454545455
Belgium,5,9,1.8,52.6,4,0.8,0.333333333,0.535714286,0.666666667,1,1,plus1,min1,12,0.705882352941176,2,14,0.636363636363636
Scotland,3,1,0.333333333,44,0,0,0.666666667,0.421052632,0.588235294,0.5,NA,zero,min1,1,0.0588235294117647,0,1,0.0454545454545455
Spain,6,13,2.166666667,66.8,2,0.333333333,0.5,0.666666667,0.78125,0.666666667,1,zero,NA,10,0.588235294117647,3,13,0.590909090909091
Czech Republic,5,6,1.2,47.6,2,0.4,0.333333333,0.606060606,0.642857143,0.2,NA,zero,plus1,7,0.411764705882353,2,9,0.409090909090909
Finland,3,1,0.333333333,40.7,1,0.333333333,0.4,0.5,0.523809524,0.5,1,zero,NA,3,0.176470588235294,0,3,0.136363636363636
Sweden,4,5,1.25,38.3,2,0.5,0,0.35,0.777777778,NA,1,zero,min1,7,0.411764705882353,1,8,0.363636363636364
Croatia,4,7,1.75,49.5,1,0.25,0.333333333,0.541666667,0.5625,NA,NA,zero,min1,4,0.235294117647059,1,5,0.227272727272727
Switzerland,5,8,1.6,48.6,1,0.2,0.5,0.551724138,0.619047619,0.555555556,0,zero,min1,6,0.352941176470588,2,8,0.363636363636364
Denmark,6,12,2,52.2,3,0.5,0.8,0.5,0.655172414,0,1,zero,plus1,9,0.529411764705882,3,12,0.545454545454545
Hungary,3,3,1,34.7,0,0,0,0.80952381,0.666666667,0.5,NA,min1,plus1,2,0.117647058823529,0,2,0.0909090909090909
North Macedonia,3,2,0.666666667,43.7,0,0,NA,0.346153846,0.571428571,0.666666667,1,plus1,min1,0,0,0,0,0
Slovakia,3,2,0.666666667,46.3,1,0.333333333,1,0.470588235,0.5,1,NA,plus1,min1,3,0.176470588235294,0,3,0.136363636363636
France,4,7,1.75,51.8,1,0.25,0.5,0.481481481,0.565217391,0.75,NA,plus1,min1,6,0.352941176470588,1,7,0.318181818181818
Turkey,3,1,0.333333333,48.7,0,0,0.8,0.461538462,0.5,0.8,0,plus1,min1,0,0,0,0,0
Russia,3,2,0.666666667,44.3,1,0.333333333,0.5,0.565217391,0.6,0.75,NA,plus1,min1,3,0.176470588235294,0,3,0.136363636363636
Poland,3,4,1.333333333,49.3,0,0,0.5,0.5,0.6875,1,NA,plus1,min1,1,0.0588235294117647,0,1,0.0454545454545455
Ukraine,5,6,1.2,48.6,2,0.4,0.75,0.6,0.6,0.8,1,plus1,NA,6,0.352941176470588,2,8,0.363636363636364
Netherlands,4,8,2,54.8,3,0.75,NA,0.527777778,0.470588235,1,NA,plus1,zero,9,0.529411764705882,1,10,0.454545454545455
Germany,4,6,1.5,59.3,1,0.25,0.5,0.576923077,0.782608696,0.8,NA,plus1,min1,4,0.235294117647059,1,5,0.227272727272727
